epoch,accuracy
1.000000000000000000e+00,3.684166666666666701e-01
2.000000000000000000e+00,4.022499999999999964e-01
3.000000000000000000e+00,4.238333333333333397e-01
4.000000000000000000e+00,4.540833333333333388e-01
5.000000000000000000e+00,4.749166666666666536e-01
6.000000000000000000e+00,4.883333333333333415e-01
7.000000000000000000e+00,4.704999999999999738e-01
8.000000000000000000e+00,5.053333333333333011e-01
9.000000000000000000e+00,5.114999999999999547e-01
1.000000000000000000e+01,5.177500000000000435e-01
1.100000000000000000e+01,4.819166666666666599e-01
1.200000000000000000e+01,5.190000000000000169e-01
1.300000000000000000e+01,5.210000000000000187e-01
1.400000000000000000e+01,4.856666666666666909e-01
1.500000000000000000e+01,5.372500000000000053e-01
1.600000000000000000e+01,5.319166666666667043e-01
1.700000000000000000e+01,5.256666666666666154e-01
1.800000000000000000e+01,5.516666666666666385e-01
1.900000000000000000e+01,5.534999999999999920e-01
2.000000000000000000e+01,5.777499999999999858e-01
